RGS1
HAVCR2
PDCD1
CTLA4
CXCR6
TIGIT
TNFRSF9
PHLDA1
MYO7A
CCL3
ENTPD1
CD27
CD27-AS1
DUSP4
LAYN
HLA-DRA
MYO1E
SRGN
AKAP5
NR4A2
AFAP1L2
TOX
CSF1
COTL1
LYST
SARDH
ETV1
ENTPD1-AS1
IFNG
KIR2DL4
SIRPG
MIR155HG
TBC1D4
ITM2A
CXCL13
TNS3
CLNK
LINC00299
ATP8B4
CREM
SAMSN1
CD38
WHRN
ID3
ICOS
ASB2
TOX2
MIR155
PTGIS
HLA-DMA
RGS2
GAPDH
VCAM1
KLRC4
MS4A6A
APOBEC3G
CD200
PRDM1
SNAP47
IL2RB
WARS
ITGAE
ACP5
ID2
TNFRSF1B
LAG3
SRGAP3
PTPN22
OASL
LAT2
ARID5B
GOLIM4
CLECL1
PDE7B
TNFSF4
FUT8
GLDC
SNX9
NDFIP2
CHST12
CTSD
CCDC141
APOBEC3C
NAB1
HNRNPLL
CD82
FKBP1A-SDCBP2
TNFAIP3
PHEX
GFOD1
PAM
FKBP1A
ZFP36L1
KRT86
ACTN4
CBLB
LSP1
FASLG
TYMP
TTYH3
MIR4632
RNF19A
APOBEC3F
RBPJ
PTMS
HMOX1
BCL2L11
CD7
TRPS1
RAB27A
ARHGAP9
SEMA4A
RIN3
NCF4
TTC24
EPSTI1
TRAF5
ATXN1
FAM3C
INPP5F
SLA
IFI16
CCND2
MTHFD2
SLC2A8
PLPP1
DGKH
ZBED2
NEDD9
PTPN7
IKZF3
CD70
CD63
GPD2
GALM
RALGDS
SEL1L3
P2RY10
CD84
APOBEC3D
IFI27L2
IGFLR1
UBASH3B
TPI1
IFI6
YARS
GGA2
BATF
PDLIM7
ABCG1
PELI1
ATP10D
LINC00963
BTG3
AHI1
UBE2L6
OSBPL3
PON2
KIF20B
BST2
CLSTN3
LIMS1
PTPN11
GCNT1
CAMK1
LY6E
PARP14
PHTF2
GABARAPL1
MTHFD1
ARL3
SSH1
SHFM1
PRKCH
PARK7
LIMK1
JMJD4
PLSCR1
MIR497HG
VAMP5
TFRC
TRAFD1
CD2BP2
CTNNA1
GBP4
PPM1G
IFI35
MAPKAPK3
ZNF79
SPTAN1
EID1
COQ10B
STARD4
CASP3
SKIV2L2
SUSD6
STAM
RHBDD2
PKM
GMDS
STAT3
TBL1XR1
SCO2
PRDX5
DRAP1
GALNT2
CALM3
MIS18BP1
VMP1
PRKAR1A
OAS3
SYNGR2
PSME2
IL21R
MX1
ANXA5
PSTPIP1
ETNK1
MAPRE2
MAD2L2
GTF2I
NFAT5
IRF2
ACSL4
IRF9
GBP1
SLC4A5
TBK1
MAP2K3
ARNT
CTNNB1
RHOH
SAMD9L
FIBP
PFKP
GATA3
GBP2
PMF1
RFX5
NRBP1
TET2
DDX60
SP140
RNF31
PMF1-BGLAP
MCL1
C17orf62
LSM2
GSTO1
AIP
PSMA5
LDHA
EWSR1
OS9
ARPC1B
CAT
ICAM3
ANKRD10
ZMYM5
CAPZA2
NAPA
SNX17
NUDT5
SRI
PPM1M
CTSB
CALCOCO2
BLOC1S2
DCAF11
NASP
CSNK2B
LY6G5B
