"cell_names","tSNE1","tSNE2","Cluster","Patient","SampleType","stype","invariantTCR","Units"
"NTC10-20170215",-16.5594206522581,-26.8342402079793,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC11-20170215",-16.4541028954182,-23.2798892008933,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC1-20170215",-16.4677810923029,-15.6413776641948,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC13-20170215",-18.4004889116044,-26.0819469084088,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC14-20170215",-13.9353582881569,-27.5532799288352,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC15-20170215",-19.4708199421313,-25.9759733045006,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC16-20170215",-29.7845811406195,-25.0425570654627,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC17-20170215",-30.6438777831685,-29.4210237996133,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC18-20170215",-15.6525139841889,-24.4145337009166,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC19-20170215",-12.37498716241,-23.8452634958909,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC20-20170215",-17.9770136440841,-25.0272696191886,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC21-20170215",-19.4899868885643,-14.7002677908119,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC2-20170215",-18.7510627518046,-25.8947481958084,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC22-20170215",-32.4454977591584,-26.4425112775647,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC23-20170215",-14.4674200484141,-26.8899896900689,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC24-20170215",-13.5971977325172,-25.1354161652523,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC25-20170215",-14.9009199600333,-8.40961137844914,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC26-20170215",-18.182949818854,-25.5780506114291,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC27-20170215",-13.5272296216835,-26.0051340459421,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC28-20170215",-16.905006853218,-25.7972112576849,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC30-20170215",-4.47496470943977,-11.1046155167365,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC31-20170215",-5.28187985366529,-13.0219876823072,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC3-20170215",-9.79588218298401,-21.8883152612844,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC32-20170215",-28.4592273800932,-25.146168355919,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC33-20170215",-1.80249125618323,-10.4323135896026,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC34-20170215",-28.2751722840372,-25.9475858937462,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC35-20170215",-28.2095307105295,-25.1281530065894,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC37-20170215",-18.0443378733113,-21.2691807412362,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC38-20170215",-17.7819135375097,-25.1246547696555,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC39-20170215",-14.7532241065047,-25.9389963803858,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC41-20170215",-28.3939340035639,-26.7845908937142,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC4-20170215",-29.7834273766591,-27.6437549884452,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC43-20170215",-16.6326864276491,-7.85086082699224,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC44-20170215",-28.3548533254515,-26.6070934438474,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC45-20170215",-16.3907729908102,-24.8742883895812,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC46-20170215",-16.9179473637607,-24.3939231759415,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC47-20170215",-17.4610021427188,-9.42577880618949,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC48-20170215",-16.0693475566216,-24.8121889238532,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC49-20170215",-16.0668545024363,-24.3167778735711,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC51-20170215",-14.4527632293985,-27.006436653516,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC5-20170215",-15.7193526301377,-25.8656090583336,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC52-20170215",-17.0182691883325,-10.9824369744271,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC53-20170215",-17.8413202689473,-25.2983836186108,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC54-20170215",-29.7252218559574,-29.7189435913227,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC55-20170215",30.3292003156157,-19.5003103881358,"CD8_C01-CCR7","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC56-20170215",-16.4630971287846,-24.5785109179623,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC57-20170215",-3.62129461352591,-12.0438883289856,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC58-20170215",-14.5285574998221,-24.7094791035865,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC60-20170215",-14.9258830194248,-25.9861579553897,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC61-20170215",-15.5591672223864,-8.0583086555603,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC6-20170215",-17.7325654817629,-25.0878178986191,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC63-20170215",-27.8156889215872,-25.874058029908,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC64-20170215",-14.5196492901121,-25.5868653319554,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC65-20170215",-19.1740301474169,-27.32815132335,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC66-20170215",-13.2887009395128,-24.8562604364817,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC67-20170215",-15.9954738612978,-27.0176231010046,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC68-20170215",-27.1068959430398,-25.6793618134316,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC70-20170215",-4.4592749687325,-10.6852468384241,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC71-20170215",-6.45522440823352,-12.5623341992689,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC7-20170215",-15.7624248608732,-25.7746133853634,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC74-20170215",-18.9674121483338,-24.0724094695328,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC76-20170215",-23.8283358114263,-11.2461217391951,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC78-20170215",-12.7970632039328,-24.4920946550488,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC79-20170215",-12.8336853357266,-24.3442480240526,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC80-20170215",-15.986423100915,-27.0646548478276,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC81-20170215",-15.851553867705,-26.994895178674,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC8-20170215",-16.3379330713276,-25.8109367554118,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC82-20170215",-16.3491713094194,-25.7975602058469,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC83-20170215",-17.8688174292298,-26.0066837325286,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC84-20170215",-17.8558596189032,-25.5679551057759,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC86-20170215",-29.8998443968947,-29.2953118536463,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC87-20170215",-17.7301866252074,-24.8503833792805,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC88-20170215",-17.2689794820451,-10.1837154520687,"CD8_C04-GZMK","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC90-20170215",-12.9092409986058,-25.6046895598237,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC91-20170215",-16.8809789936199,-25.753909521482,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC92-20170215",-30.2391499569774,-24.7689602605476,"CD8_C06-CD160","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC93-20170215",-13.8798183997241,-27.4150367036031,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC94-20170215",-14.1500431711455,-26.1976604909846,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC95-20170215",-16.6549765653259,-26.897076864512,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTC96-20170215",-15.8126907350874,-27.2533493833274,"CD8_C05-CD6","P0215","NTC","CD8","diverse","log2(TPM + 1)"
"NTH10-20170215",12.383579180208,3.67690848330339,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH12-20170215",-0.638057561035437,5.82558336017658,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH14-20170215",4.19666095633676,30.3912597357871,"CD4_C12-CCR8","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH15-20170215",11.1020457810674,8.5812669478439,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH16-20170215",2.41594112375971,9.7597116503337,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH17-20170215",14.2339532254091,6.786476088991,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH19-20170215",-1.9985309760859,4.07613267193498,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH21-20170215",1.9296528771222,15.2679331598518,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH24-20170215",15.2171642073517,14.5808426604356,"CD4_C06-CXCR5","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH25-20170215",1.40598661576044,3.53999416965376,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH26-20170215",-1.86776396780887,9.04847943662396,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH28-20170215",9.75587630052927,8.36034717434071,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH30-20170215",1.62024893091377,4.24170806006377,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH3-20170215",16.2800937421995,1.61443425074757,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH33-20170215",11.0329770290546,18.3998034367671,"CD4_C11-IL10","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH34-20170215",12.710067021201,4.19585055064836,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH37-20170215",1.39231755269078,3.61377700571944,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH39-20170215",11.6175534988982,8.97132491666106,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH4-20170215",1.70657111326827,3.32421918689458,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH42-20170215",15.4067555166956,2.03118499467617,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH43-20170215",-0.671883727054653,5.6586375199489,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH45-20170215",2.55462139174599,3.29742020490289,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH47-20170215",-0.357554459825066,11.5354913163323,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH48-20170215",1.49534306232041,5.23498664909762,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH49-20170215",-1.60681163924067,8.42721108088129,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH50-20170215",3.04596131407488,25.210514291779,"CD4_C12-CCR8","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH52-20170215",10.5044671346878,8.75658445568658,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH54-20170215",13.6836199913692,13.1621241250497,"CD4_C06-CXCR5","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH55-20170215",10.7973031048225,10.7595819954123,"CD4_C11-IL10","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH56-20170215",-3.70108689803727,13.0163966780721,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH57-20170215",-0.22484417320159,8.38406989445585,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH60-20170215",-2.06250977731296,8.83142618463362,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH61-20170215",-1.39396446952185,3.22317403931015,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH65-20170215",-2.26270704854924,8.85236301311643,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH66-20170215",16.4027699071441,1.90406277095284,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH67-20170215",15.9643640272904,1.86280591000052,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH70-20170215",1.4261653603491,4.3259371797471,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH71-20170215",1.12908644556155,4.38665242944935,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH73-20170215",1.04819743690992,13.8675229666344,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH75-20170215",-0.372071591765371,4.38589628313584,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH77-20170215",2.56484676167317,25.2034541154553,"CD4_C11-IL10","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH78-20170215",-6.96795158198528,5.33588642801647,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH79-20170215",10.118753515569,4.88653695707738,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH81-20170215",10.9228345918109,10.6552938181537,"CD4_C06-CXCR5","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH82-20170215",5.9994660697448,20.107731969142,"CD4_C11-IL10","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH84-20170215",15.3051187632623,2.14126689251336,"CD4_C04-TCF7","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH85-20170215",2.91193915101013,3.81620875455232,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTH9-20170215",-0.367485562566231,4.71441702292857,"CD4_C05-CXCR6","P0215","NTH","CD4","diverse","log2(TPM + 1)"
"NTR10-20170215",2.73691253897282,36.8550777839902,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR11-20170215",-5.95851426972143,42.9330102527973,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR1-20170215",0.99366954160723,32.1933083523569,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR12-20170215",-4.1315597214582,33.7723421106973,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR15-20170215",0.926056650033838,33.4812704539166,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR17-20170215",-1.48555444911628,35.6276861085294,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR20-20170215",-4.89357303103026,43.7459363449458,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR21-20170215",-4.88804197907057,45.1325734266284,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR2-20170215",-3.15313535310646,45.5089816782005,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR3-20170215",-4.5440842801137,21.7445789153204,"CD4_C08-IL23R","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR4-20170215",-6.46932810433844,31.5020401921135,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR5-20170215",4.84827362755574,15.2166944435751,"CD4_C09-CXCL13","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR6-20170215",5.45603329240134,38.0461529798925,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR7-20170215",5.00177228712466,24.3138565787946,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"NTR9-20170215",-3.79712267706148,44.7851728330141,"CD4_C12-CCR8","P0215","NTR","CD4","diverse","log2(TPM + 1)"
"PTC10-20170215",7.55712466404969,-22.0740403903629,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC11-20170215",10.366419919804,-20.1048692094116,"CD8_C04-GZMK","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC1-20170215",31.7178686140944,-25.1770456931248,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC13-20170215",32.8382077054492,-26.417288417759,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC16-20170215",31.134288645053,-26.235647700171,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC17-20170215",10.0755366358503,-30.685558473318,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC18-20170215",10.6030053751381,-27.32569541773,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC19-20170215",32.5720454008953,-26.5255407171699,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC20-20170215",11.0782362169881,-21.1543240170007,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC21-20170215",10.3592210205263,-30.0833811991088,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC2-20170215",5.44417723300455,-34.3983658400959,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC25-20170215",10.5936121551797,-30.5432459069109,"MAIT","P0215","PTC","CD8","MAIT","log2(TPM + 1)"
"PTC26-20170215",8.51834965633928,-20.9023078539797,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC27-20170215",10.7270003376279,-20.8761444200683,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC28-20170215",10.8452465771499,-20.3353414510147,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC3-20170215",32.7812609371756,-26.6181429552109,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC32-20170215",9.57973808239849,-30.3364707560948,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC33-20170215",10.7328683041406,-30.8654730929341,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC34-20170215",10.3783826801568,-17.8853924068185,"CD8_C02-GPR183","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC37-20170215",32.4439984346481,-26.3375346426276,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC39-20170215",8.38274810487491,-17.6506955695153,"CD8_C02-GPR183","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC40-20170215",32.5904314716983,-26.561518601475,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC42-20170215",11.513386774533,-18.0644426669214,"CD8_C02-GPR183","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC45-20170215",11.0927493200743,-20.9762992627905,"CD8_C04-GZMK","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC46-20170215",10.8107090431968,-20.9636810192691,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC47-20170215",31.6156999658752,-26.04440440805,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC48-20170215",32.4785413175621,-26.2036283144473,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC49-20170215",11.1572470766315,-21.0295654872731,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC50-20170215",32.5734149927929,-27.0214803568214,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC51-20170215",32.3021167081811,-26.3349331403762,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC5-20170215",30.9282209735497,-26.2638861919563,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC53-20170215",10.1764288644833,-30.9860179997566,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC55-20170215",8.48995080549345,-18.4130196455598,"CD8_C04-GZMK","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC56-20170215",8.03146251965368,-21.0111083808002,"MAIT","P0215","PTC","CD8","MAIT","log2(TPM + 1)"
"PTC57-20170215",6.90654790480529,-30.7899487226735,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC58-20170215",10.2965397158156,-19.7707821633739,"CD8_C04-GZMK","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC59-20170215",32.1608290546615,-25.9427079549862,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC60-20170215",10.9450444256927,-20.7701423345131,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC61-20170215",8.07474175388503,-18.8702572006083,"CD8_C04-GZMK","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC62-20170215",31.1973301553365,-26.4874920813922,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC64-20170215",32.6115651351906,-26.8920737328505,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC66-20170215",31.9067740483797,-25.8438408884283,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC67-20170215",10.3111098658545,-30.6839846383476,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC68-20170215",32.5743622196189,-26.4825246783666,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC69-20170215",10.9656777458724,-29.8544844725146,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC70-20170215",7.93042463462892,-20.2054547435258,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC72-20170215",10.4449087720016,-30.6411186477212,"MAIT","P0215","PTC","CD8","MAIT","log2(TPM + 1)"
"PTC73-20170215",32.3767169185829,-26.6181700292074,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC74-20170215",13.351792611803,-26.7237103480192,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC75-20170215",9.88473065450274,-31.2544746034374,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC76-20170215",32.1145568504843,-26.7242685893415,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC77-20170215",8.21356665224037,-20.538955726897,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC78-20170215",30.8987737462604,-26.221428391899,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC79-20170215",10.9188441577273,-29.9596026936969,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC80-20170215",32.737804463662,-26.548355122622,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC8-20170215",30.9172355348213,-26.2227556297905,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC82-20170215",32.457197503505,-26.6790305881598,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC83-20170215",32.7928835578041,-26.4885005818628,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC85-20170215",22.1516828192295,-12.5643363415045,"CD8_C02-GPR183","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC87-20170215",7.76895377226726,-20.0444336192899,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC89-20170215",31.0187652532511,-26.3381479756621,"CD8_C01-CCR7","P0215","PTC","CD8","diverse","log2(TPM + 1)"
"PTC91-20170215",6.24605037244212,-20.0312850693462,"CD8_C03-CX3CR1","P0215","PTC","CD8","diverse","log2(TPM + 1)"
