"","gene_name","hi_mean","lo_mean","FC","hi_SD","lo_SD","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","TNFRSF9",269.955895827875,0.760081437851774,355.167068137928,385.418948956031,0.504061799745163,269.195814390023,15.9576900998259,5.78169737594207e-47,521.002231020165,236.055514839466,302.336113940581,"Welch Two Sample t-test","two.sided"
"2","IL1RL1",48.2651068915913,2.66440632631982,18.1147696636259,329.626101585149,20.3375621421271,45.6007005652714,3.15320975103646,0.00170703964446766,525.962301588086,17.1909597656215,74.0104413649213,"Welch Two Sample t-test","two.sided"
"3","CCL22",107.901727086723,9.69061655377362,11.1346606779839,417.301547827713,69.583624474659,98.2111105329491,5.28587029704271,1.7989397431669e-07,557.053381668778,61.7158191364851,134.706401929413,"Welch Two Sample t-test","two.sided"
"4","QPCT",6.45328211246471,0.889114320807304,7.25810164277325,42.5623206876943,0.283434902648619,5.56416779165741,2.98674479722886,0.00295237103108483,521.057843582313,1.90434423921557,9.22399134409925,"Welch Two Sample t-test","two.sided"
"5","NIPAL4",14.4801828168063,2.20914918044144,6.55464236865743,67.0235246890911,17.5426336151386,12.2710336363649,4.01442010282363,6.70312989880423e-05,608.584974452407,6.26799717138777,18.274070101342,"Welch Two Sample t-test","two.sided"
"6","GTF2IRD1P1",9.9568940173793,1.79550267164391,5.54546321463453,64.7229043994048,10.9773796467247,8.1613913457354,2.83047686867846,0.00481526056447301,558.29071447393,2.49775691364212,13.8250257778287,"Welch Two Sample t-test","two.sided"
"7","NR4A3",21.9700357477488,4.12616469665528,5.32456587725593,107.268634564288,34.0264998214657,17.8438710510935,3.58171153885597,0.000366935242321464,647.644839097546,8.06116657059495,27.626575531592,"Welch Two Sample t-test","two.sided"
"8","CLCF1",6.26030499627532,1.21591429663983,5.14864000988857,29.2781877652197,3.7593846698793,5.04439069963549,3.89640227327771,0.000109837167081647,542.437939803311,2.50129253928259,7.5874888599884,"Welch Two Sample t-test","two.sided"
"9","ME3",5.27725681364875,1.06408587417687,4.95942756286563,27.6078842248733,1.97656520463228,4.21317093947188,3.47554052535625,0.000551806096955098,527.680115927155,1.83177241654647,6.59456946239728,"Welch Two Sample t-test","two.sided"
"10","STAP2",6.86323055219742,1.48876804669767,4.61000662085756,32.8761448505057,7.83344148451507,5.37446250549975,3.60894909077369,0.00033336830318097,593.928005091991,2.44971558757741,8.29920942342209,"Welch Two Sample t-test","two.sided"
"11","LCN10",9.13972828745273,2.04905473863815,4.46046077496553,52.2319232374061,14.0699377551711,7.09067354881457,2.96966501052352,0.00309769557687382,613.60673875698,2.4016155943125,11.7797315033167,"Welch Two Sample t-test","two.sided"
"12","SLC29A1",22.0315798954438,4.96347358404952,4.43874224821985,80.1827481219263,33.0856495696926,17.0681063113943,4.41555541498043,1.16089804944356e-05,725.478475558418,9.47930403442264,24.6569085883659,"Welch Two Sample t-test","two.sided"
"13","IL1RN",22.8218094460173,5.30274403799647,4.30377353356848,99.5453080496714,32.8911421691595,17.5190654080208,3.77146029533735,0.000176917028341362,657.748093926426,8.39792021588533,26.6402106001563,"Welch Two Sample t-test","two.sided"
"14","TRIM2",12.7949252766798,2.98084116088708,4.29238747926847,59.5219810115159,18.2021404365088,9.81408411579273,3.56425327016841,0.000392098412783979,639.151094838135,4.40713242768982,15.2210358038956,"Welch Two Sample t-test","two.sided"
"15","NR4A1",90.1986519704537,21.0323800464712,4.28856134071176,322.929139430967,233.146644093804,69.1662719239825,3.80673008608895,0.000150058727158522,927.93237319653,33.5082530290461,104.824290818919,"Welch Two Sample t-test","two.sided"
"16","CD83",82.8065160167272,19.3097351659708,4.28832996957181,280.771066643504,98.8439489991369,63.4967808507564,4.80747333908057,1.88574169437956e-06,674.85517236535,37.5631989770566,89.4303627244563,"Welch Two Sample t-test","two.sided"
"17","ZBTB32",100.639106938052,23.7432848688908,4.23863452314101,196.259421520239,91.5649328930461,76.8958220691614,7.93564631994169,7.36463292459721e-15,771.8353262009,57.8740885752466,95.9175555630762,"Welch Two Sample t-test","two.sided"
"18","HECW2",7.64713065531466,1.86079953253748,4.10959403288684,41.7365188356517,12.8647992924067,5.78633112277717,2.99447002081443,0.00285519060852447,640.94472792906,1.99185104308094,9.58081120247341,"Welch Two Sample t-test","two.sided"
"19","CDC45",11.3272081929156,2.78286632593522,4.07033858843683,57.1492051630284,18.268146149992,8.54434186698035,3.21637393611041,0.00136266531242719,649.497311081961,3.32794977812979,13.7607339558309,"Welch Two Sample t-test","two.sided"
"20","FECH",13.1989595666818,3.33069564750715,3.96282367515641,63.2473669783983,20.2595910892165,9.8682639191746,3.35578182493064,0.000837485579375983,650.002848858516,4.09389465719326,15.6426331811559,"Welch Two Sample t-test","two.sided"
"21","TNFRSF8",54.72358980457,13.9711441145553,3.91690110386582,123.635351805769,58.1296386588379,40.7524456900147,6.66496719780962,5.02486412223419e-11,774.922911712369,28.7496449745404,52.755246405489,"Welch Two Sample t-test","two.sided"
"22","CCNB2",16.5553556379345,4.2697421028333,3.87736665100891,97.1039944432888,27.0746889175875,12.2856135351012,2.75949123463562,0.00596014505624311,619.984516334281,3.54253110495017,21.0286959652522,"Welch Two Sample t-test","two.sided"
"23","SETBP1",9.79674016704372,2.54903346623854,3.84331563190507,55.2948693151446,16.9511759020112,7.24770670080519,2.83269333957376,0.00476110107614169,639.706046527855,2.22345250630258,12.2719608953078,"Welch Two Sample t-test","two.sided"
