"","gene_name","hi_mean","lo_mean","FC","hi_SD","lo_SD","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","CXCL13",1.08199664945931,13.2149757988079,0.0818765517192184,5.05710177128497,158.348645222016,-12.1329791493486,-1.56402709180275,0.118570331374985,416.677952063439,-27.3817408909355,3.11578259223834,"Welch Two Sample t-test","two.sided"
"2","CD40LG",0.894738173221784,9.24831012857906,0.0967461255929199,6.31756551312522,99.7144576039669,-8.35357195535728,-1.70799626770776,0.0883783006519051,418.668755990978,-17.9672745759018,1.26013066518727,"Welch Two Sample t-test","two.sided"
"3","ANXA1",0.0776908794002213,0.504616762528142,0.153960163770597,0.388032898149021,4.70837481268989,-0.426925883127921,-1.84660701513865,0.0655065600686022,420.516594394699,-0.88136724786441,0.0275154816085682,"Welch Two Sample t-test","two.sided"
"4","EPHA1",0.646076853335186,3.84826880805682,0.167887662104722,0.159165413660176,26.4078578589776,-3.20219195472163,-2.47614409609462,0.0136779145506943,416.024144666169,-5.74424632372564,-0.66013758571763,"Welch Two Sample t-test","two.sided"
"5","FBLN5",1.34729606756993,7.77944436588694,0.173186670435983,8.49165404193059,63.348222765415,-6.43214829831702,-2.05870827001808,0.0401269209217507,427.958064144282,-12.5731510932458,-0.291145503388247,"Welch Two Sample t-test","two.sided"
"6","AMPH",1.21577299922161,6.73893784937434,0.180410181306908,4.57315702690324,79.7785550693754,-5.52316485015273,-1.41188917173695,0.158726244816592,418.184546258666,-13.2125964782112,2.16626677790575,"Welch Two Sample t-test","two.sided"
"7","HOPX",0.358360547468456,1.89807632678928,0.188801968820003,1.30528951270421,23.5154244190762,-1.53971577932082,-1.33543251911077,0.182461476682596,418.048342302931,-3.80605995959773,0.726628400956086,"Welch Two Sample t-test","two.sided"
"8","LIF",0.975374755863985,5.11047572615555,0.190857917761353,0.176724073090527,58.2654403150821,-4.13510097029156,-1.44924402133247,0.148022833819133,416.00611446635,-9.74374714660988,1.47354520602676,"Welch Two Sample t-test","two.sided"
"9","DTHD1",1.27953532133055,6.62607129009384,0.193106180919528,6.86316836768043,48.0866275842089,-5.34653596876329,-2.25222107323924,0.0248125217313875,429.558426599456,-10.0124307600718,-0.680641177454828,"Welch Two Sample t-test","two.sided"
"10","S1PR1",0.544829771012819,2.81654319227762,0.19343916773818,3.64952417117547,26.3302260144442,-2.2717134212648,-1.74847609359599,0.0810972468618706,428.786204389815,-4.82541133513283,0.281984492603224,"Welch Two Sample t-test","two.sided"
"11","TMEM155",1.00886556443989,5.14002619175445,0.196276347007394,1.18028975231199,60.6251246293334,-4.13116062731456,-1.39130301133247,0.164876698962969,416.251926632318,-9.96780254969149,1.70548129506237,"Welch Two Sample t-test","two.sided"
"12","A2M",0.552523986291216,2.74927930908397,0.200970481415114,1.94486440493555,16.4264565443487,-2.19675532279275,-2.71573654404906,0.00688230062337456,425.326658392262,-3.78669162799531,-0.606819017590194,"Welch Two Sample t-test","two.sided"
"13","PTGER2",1.46391808959383,6.97545114430641,0.20986715544395,17.2212546266002,37.8243401880088,-5.51153305471258,-2.7560994005908,0.00604250244131608,553.074391672429,-9.43958352187943,-1.58348258754573,"Welch Two Sample t-test","two.sided"
"14","TUFT1",1.7457904612434,8.31442383449088,0.209971309617547,13.1115539750735,57.1387292057549,-6.56863337324749,-2.29966848051218,0.0219228648641053,451.096182503658,-12.1820163677105,-0.955250378784508,"Welch Two Sample t-test","two.sided"
"15","SPON1",0.961600133661332,4.44034704560772,0.216559679634168,1.50276594247877,26.20709977115,-3.47874691194639,-2.70708733219553,0.00706573157022816,418.18598001047,-6.00471235177734,-0.952781472115433,"Welch Two Sample t-test","two.sided"
"16","EOMES",0.695758721596605,3.20848091888694,0.216849886032039,4.75818551630987,27.2188331696014,-2.51272219729034,-1.86253996766056,0.0631988459236388,436.351341525634,-5.16423202098985,0.13878762640918,"Welch Two Sample t-test","two.sided"
"17","ZNF319",2.02039258240582,9.27547187312203,0.217821002536853,12.9329172427767,51.336003814435,-7.25507929071621,-2.81545512659731,0.00508077348392109,458.31169681116,-12.3190367098023,-2.19112187163015,"Welch Two Sample t-test","two.sided"
"18","ZFP3",1.7180410385328,7.81642100979287,0.219798938207185,11.2286128839226,78.0402277099182,-6.09837997126006,-1.5827130725862,0.114222447660335,429.779464928437,-13.6716793745325,1.47491943201238,"Welch Two Sample t-test","two.sided"
"19","ABCC2",1.06835210163274,4.80551008188535,0.222318148006797,1.99634469400386,40.6906435144499,-3.73715798025261,-1.87369019327848,0.06167127190691,417.600124154504,-7.65775566180925,0.18343970130403,"Welch Two Sample t-test","two.sided"
"20","TMEM71",0.574880490426709,2.58348124723407,0.222521642470673,2.91032951235748,31.2524003823441,-2.00860075680736,-1.30791387291931,0.19161492960719,421.767569948502,-5.02723579546126,1.01003428184653,"Welch Two Sample t-test","two.sided"
"21","SULF2",2.41167179646229,10.6465721437957,0.226520965047675,15.3388650153391,128.026356430237,-8.23490034733338,-1.30602386004071,0.192249955248809,425.550640662024,-20.6283515117247,4.15855081705791,"Welch Two Sample t-test","two.sided"
"22","FZD3",1.12511669160573,4.94926472560428,0.227330069007041,4.24110322211955,60.221267573833,-3.82414803399854,-1.29417848391828,0.196316115379347,419.297726942028,-9.63238083646046,1.98408476846337,"Welch Two Sample t-test","two.sided"
"23","NR5A2",1.00734410022898,4.36133382152211,0.230971565455042,1.43051985517113,40.7847067765217,-3.35398972129313,-1.67849134514064,0.0940007200271329,416.817757700275,-7.28182797805006,0.573848535463795,"Welch Two Sample t-test","two.sided"
