"","gene_name","hi_mean","lo_mean","FC","hi_SD","lo_SD","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","SNX13",0.612374643907272,102.944649297059,0.00594858157358127,0.309394396227663,232.476591196197,-102.332274653152,-1.45992202328709,0.175001888699151,10.0000074935193,-258.5121871211,53.8476378147961,"Welch Two Sample t-test","two.sided"
"2","AHCY",1.22122074032824,82.8306565766125,0.0147435839675941,3.3225717804811,142.679225411494,-81.6094358362843,-1.89692895985892,0.087055443920184,10.0022943867165,-177.465160975068,14.2462893024995,"Welch Two Sample t-test","two.sided"
"3","CDCA5",0.945162735953656,60.7060495173386,0.0155694983196642,0.0274391362103314,143.320874700293,-59.7608867813849,-1.38294186550862,0.196780407301779,10.0000001550748,-156.045160696174,36.5233871334046,"Welch Two Sample t-test","two.sided"
"4","PJA1",1.04497756800285,62.4317596603806,0.016737916305537,1.89069568737183,138.576484485429,-61.3867820923778,-1.46917361588033,0.172526958702512,10.0007875722386,-154.484570306926,31.7110061221709,"Welch Two Sample t-test","two.sided"
"5","ITGB3BP",1.06726816552715,58.854331645382,0.0181340631299292,1.96067580774443,109.440207541655,-57.7870634798549,-1.7511982614594,0.110462479399774,10.0013579661793,-131.311138070353,15.7370111106437,"Welch Two Sample t-test","two.sided"
"6","CDK1",1.05194793226908,55.1600959323473,0.0190708140457056,0.811332439840746,126.481606298784,-54.1081480000783,-1.41882799606451,0.186355876939727,10.0001740859788,-139.079816602849,30.8635206026923,"Welch Two Sample t-test","two.sided"
"7","TIMELESS",0.83719712855181,42.1282049602793,0.0198726038610276,0.174213198505156,92.056285911702,-41.2910078317275,-1.48764125079806,0.167683716339577,10.0000151521646,-103.135272934178,20.5532572707225,"Welch Two Sample t-test","two.sided"
"8","FBXL16",0.910929457560701,42.1801579687069,0.0215961604087996,0.390894192456749,68.1372789347046,-41.2692285111462,-2.00879859067564,0.0723190557304723,10.000139241732,-87.0445483035316,4.5060912812393,"Welch Two Sample t-test","two.sided"
"9","LRRCC1",0.864506594392611,37.916878217825,0.0228000467081227,0.326927958626521,83.0112749170833,-37.0523716234324,-1.48038459577708,0.169573339161349,10.0000656220612,-92.8201468174579,18.7154035705931,"Welch Two Sample t-test","two.sided"
"10","PPIEL",0.72414340424314,30.5805984402875,0.023679831042454,0.10276224731353,59.9569347024271,-29.8564550360444,-1.65156255317845,0.129633303745892,10.0000124281873,-70.136077575043,10.4231675029543,"Welch Two Sample t-test","two.sided"
"11","SDHAF4",1.03828583952549,43.1006790776888,0.0240897791344303,1.35672177126165,92.2645327499355,-42.0623932381634,-1.51197845570148,0.161475916548351,10.0009148277645,-104.047198759585,19.9224122832578,"Welch Two Sample t-test","two.sided"
"12","ESPL1",0.99788012657116,34.7478316324278,0.0287177668272085,0.409277297345059,78.8145345449341,-33.7499515058566,-1.42024066017938,0.185955516904874,10.0001140888001,-86.6983454083188,19.1984423966055,"Welch Two Sample t-test","two.sided"
"13","LOC389765",0.948224510618012,31.6684764902239,0.0299422206467915,0.152835912639512,71.119419198329,-30.7202519796059,-1.43262558470693,0.1824756246867,10.0000195386222,-78.4989385960193,17.0584346368075,"Welch Two Sample t-test","two.sided"
"14","PEX26",1.70884148372364,55.9758903886372,0.0305281697505704,5.10617604065856,100.081790501505,-54.2670489049135,-1.79786858194731,0.102374012828548,10.0110153134611,-121.511390174393,12.9772923645664,"Welch Two Sample t-test","two.sided"
"15","ESS2",0.664848087063223,18.2410599986942,0.0364478866420492,0.137695408933718,42.0505531316435,-17.576211911631,-1.3862750830615,0.195791680418357,10.0000453644059,-45.8261725641176,10.6737487408557,"Welch Two Sample t-test","two.sided"
"16","WHAMM",1.69324722992855,41.5267861815814,0.0407748199565602,6.97757032039334,96.1043218134912,-39.8335389516528,-1.37391641287673,0.199413424330979,10.022311894951,-104.413799808572,24.746721905266,"Welch Two Sample t-test","two.sided"
"17","KIFC2",0.890473929358105,21.3311737608194,0.0417451913027734,0.103197235056835,47.3912843968404,-20.4406998314613,-1.43051826206398,0.183063819413129,10.0000200612817,-52.2786052110934,11.3972055481708,"Welch Two Sample t-test","two.sided"
"18","PGM1",2.97856161312364,71.3465963214003,0.0417477744797508,17.169429164608,142.375992185185,-68.3680347082766,-1.59017782176204,0.142692202459643,10.0616018012591,-164.085096486806,27.3490270702529,"Welch Two Sample t-test","two.sided"
"19","PLOD3",4.15624204515805,96.4472357319578,0.0430934283768268,18.0253122743258,182.757401094161,-92.2909936867997,-1.67314778464568,0.125118334777643,10.0411901815243,-215.127043322432,30.5450559488321,"Welch Two Sample t-test","two.sided"
"20","ATP7A",0.861689300335741,19.7787943459212,0.0435663208416664,1.48507047924047,42.622134783343,-18.9171050455855,-1.47183816940711,0.171807396698016,10.0051367436714,-47.5527284989484,9.71851840777737,"Welch Two Sample t-test","two.sided"
"21","GFM1",5.01801821436175,114.008762521777,0.0440143205080685,19.4495403609542,129.273450244159,-108.990744307415,-2.78958318919995,0.0189709807371642,10.0959516597961,-195.933492329355,-22.047996285475,"Welch Two Sample t-test","two.sided"
"22","HYAL3",2.78936517921263,60.303169868022,0.0462556974254814,8.11496186537491,130.384827161006,-57.5138046888094,-1.46239105722674,0.174290040921254,10.0163938575818,-145.123967293523,30.0963579159038,"Welch Two Sample t-test","two.sided"
"23","BLVRA",3.96930549560342,85.0927256896147,0.0466468251361686,15.2704570563131,151.595276215338,-81.1234201940113,-1.77292893813707,0.106515172294285,10.0429661285507,-183.016662773043,20.7698223850205,"Welch Two Sample t-test","two.sided"
