"","Gene","KO.mean","WT.mean","FC","p.value"
"1","Cxcr5",3.89369418851975,1.53848132501689,2.53086867237533,0.00467637696296882
"2","Klrg1",25.8438641309495,10.4921135703217,2.46317045252466,0.0110105393688564
"3","Zeb2",18.0914270480841,8.11722434626057,2.22877011603337,0.00322457350931342
"4","Myb",37.1505773500002,17.8012343164343,2.08696636927599,0.00661463239877917
"5","Havcr2",12.4956104736784,6.67980257400554,1.87065565714547,0.0356248058894684
"6","Nrarp",9.18051155484358,6.02856115249266,1.52283626600481,0.041757337472037
"7","Notch2",15.2025898232086,13.0713291316296,1.1630485064003,0.089235404863327
"8","Rbpj",7.86513552933049,7.16701912514992,1.09740680078986,0.0590208449545174
"9","Foxo1",44.3422406066837,40.5255313593403,1.09418036283104,0.165979446335566
"10","Notch1",23.4389523887652,21.582237840857,1.08602975102023,0.29784584447868
"11","Ctla4",49.1149269522586,45.2414017779237,1.08561903526661,0.819259369758467
"12","Actb",2182.17515124739,2206.59384964588,0.988933759421831,0.902937066225904
"13","Dtx1",99.2673068041542,104.175481242072,0.952885512220359,0.31349407666221
"14","Id3",14.2368857361493,14.9613159471705,0.951579779908451,0.774977606873466
"15","Hes1",0.329962601936173,0.370386924942253,0.890859206187198,0.38649373629367
"16","Tcf7",446.017889132637,536.34969358364,0.831580393292578,0.0176824858028629
"17","Bcl2",3.12595244294394,4.72452133286339,0.661644264615776,0.000309686104519922
"18","Il7r",45.3721857355964,100.893423540738,0.449704095106621,0.000974814723689661
