"","gene_name","hi_mean","lo_mean","FC","hi_SD","lo_SD","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","CCR8",285.616885260752,1.05236796741598,271.40400896282,281.98987856734,1.1518027507171,284.564517293336,25.3285375367485,4.17019718733473e-98,629.042790187916,262.501995991614,306.627038595059,"Welch Two Sample t-test","two.sided"
"2","CCL22",93.2684245886435,5.19929175193342,17.9386787736927,384.349988776958,38.2432607097055,88.0691328367101,5.69413241499616,1.87384420644441e-08,654.105284882406,57.6988671435884,118.439398529832,"Welch Two Sample t-test","two.sided"
"3","DIRAS3",21.5970912034512,2.48534610977835,8.6897720677533,163.378444555063,16.6389007275737,19.1117450936729,2.90557306592468,0.00378946286159627,655.285346519427,6.19599816117668,32.027492026169,"Welch Two Sample t-test","two.sided"
"4","ALDH1B1",7.272369487785,0.895042128922016,8.12517003701692,40.7557644224732,0.192379810588362,6.37732735886298,3.92744469142065,9.53477333260995e-05,629.057146985638,3.18863130834604,9.56602340937993,"Welch Two Sample t-test","two.sided"
"5","CLIC4",8.08938732959674,1.18249176633702,6.84096715079466,43.5106721072233,3.29280963265477,6.90689556325971,3.96128853817712,8.28748952915832e-05,643.595964003664,3.48306715147121,10.3307239750482,"Welch Two Sample t-test","two.sided"
"6","CD83",75.5464412145254,11.9187798051471,6.33843752880647,265.741079167069,51.3597254399437,63.6276614093782,5.79321592378471,1.03207659840851e-08,719.926458632308,42.0648651071921,85.1904577115644,"Welch Two Sample t-test","two.sided"
"7","IL1RL1",38.7022012559929,6.22348363822158,6.21873592119742,298.533398838574,56.5788954591511,32.4787176177713,2.63590206773546,0.00857295346054077,716.651039103221,8.2878313436229,56.6696038919198,"Welch Two Sample t-test","two.sided"
"8","SHCBP1",6.45088720314753,1.14724363066323,5.62294444765686,36.8671365627455,2.5120948695892,5.3036435724843,3.59384471254108,0.000350844651295693,640.847559023267,2.40573879356207,8.20154835140653,"Welch Two Sample t-test","two.sided"
"9","WDR19",4.69805835310629,0.864976020055201,5.43143190583071,33.9162719416058,0.0768873988339494,3.83308233305109,2.83666492367995,0.00470549260635101,629.013181185118,1.17954831978278,6.48661634631939,"Welch Two Sample t-test","two.sided"
"10","HLA-DOA",5.56658411614379,1.04804782731531,5.31138367072731,38.0765742883935,1.92952549069558,4.51853628882847,2.97081937852477,0.00308218967168917,635.568061338895,1.53179613129754,7.50527644635941,"Welch Two Sample t-test","two.sided"
"11","LINC01011",8.99315120140282,1.73118463222303,5.19479611475906,66.4555217972802,11.0535631506303,7.26196656917978,2.66856655664742,0.00779462621166318,697.428293924179,1.91904703563544,12.6048861027241,"Welch Two Sample t-test","two.sided"
"12","L2HGDH",4.98971985176744,1.05565047779517,4.72667796465073,27.4150200328334,1.45678883877935,3.93406937397227,3.59151085827599,0.000354126572817643,636.220122183974,1.7830719221048,6.08506682583973,"Welch Two Sample t-test","two.sided"
"13","HCG11",5.1161746355826,1.09270240581146,4.6821299270255,35.0309988482697,2.139414095068,4.02347222977114,2.87192919047905,0.00421508773198746,638.527340635338,1.27241671028648,6.77452774925579,"Welch Two Sample t-test","two.sided"
"14","CD86",10.4966318934372,2.27640306369334,4.6110603437719,57.7060662749975,16.4298167628641,8.22022882974387,3.31221623402731,0.000966677647728902,808.96870628412,3.34871914408401,13.0917385154037,"Welch Two Sample t-test","two.sided"
"15","KBTBD8",15.8110256573639,3.77059296800173,4.19324647118916,63.0544226834424,23.1023978952625,12.0404326893622,4.24682421173052,2.39756341418992e-05,885.033274656539,6.47600848914638,17.604856889578,"Welch Two Sample t-test","two.sided"
"16","RHBDF2",4.15310615731287,0.991869669698095,4.18714906221196,20.8734655156871,3.79040437768451,3.16123648761477,3.67962584185434,0.000251260755458198,709.866072747975,1.4745183102402,4.84795466498934,"Welch Two Sample t-test","two.sided"
"17","EBI3",53.3176390595357,12.8619450928247,4.14537915336614,107.609186197491,41.7243147811893,40.4556939667109,8.25547756927725,5.35355240779473e-16,900.850310840343,30.8380336809001,50.0733542525218,"Welch Two Sample t-test","two.sided"
"18","BRPF3",7.16798511778917,1.76881876022774,4.05241355358887,43.253549641605,8.37512639369669,5.39916635756143,3.01981469264601,0.00261869981500657,720.242449409615,1.88902239207213,8.90931032305073,"Welch Two Sample t-test","two.sided"
"19","TSPAN33",12.7936672233338,3.16692126098194,4.03978064783556,49.6319280402888,22.7418216299528,9.62674596235188,4.07393944081157,5.01518133352382e-05,933.452962149417,4.98932505513801,14.2641668695658,"Welch Two Sample t-test","two.sided"
"20","QPRT",4.19101604022345,1.04766365697912,4.00034496978544,22.3224092757547,1.27012246889095,3.14335238324433,3.52284601503442,0.000457464639410945,637.274404250623,1.39119502890997,4.89550973757869,"Welch Two Sample t-test","two.sided"
"21","CCNB2",14.6982619112604,3.76204885368684,3.90698326441348,89.2690023456569,26.4373439601359,10.9362130575736,2.83212741856619,0.00473718538860311,820.488684819171,3.35666375768944,18.5157623574577,"Welch Two Sample t-test","two.sided"
"22","CXorf57",3.28628421385372,0.842982969823622,3.89839929333485,23.6883701609859,0.612269483841908,2.4433012440301,2.58711982048975,0.00990083270176755,630.712251563261,0.588733222144617,4.29786926591558,"Welch Two Sample t-test","two.sided"
"23","EXOC3-AS1",4.94370114332566,1.27550021016458,3.87589206487687,26.1173599963209,5.94544437557588,3.66820093316108,3.35261897510031,0.000840566270749161,751.797236239944,1.52028761606756,5.8161142502546,"Welch Two Sample t-test","two.sided"
